epoch,custom_accuracy,learning_rate,loss,precision,recall,val_custom_accuracy,val_loss,val_precision,val_recall
0,0.5011312365531921,0.0010000000474974513,0.8728459477424622,0.002411728259176016,0.5516431927680969,0.46054360270500183,0.8030049800872803,0.005266947206109762,0.7493261694908142
1,0.5059125423431396,0.0010000000474974513,0.8359234929084778,0.0032615279778838158,0.7394366264343262,0.4618871808052063,0.8175811171531677,0.005073248408734798,0.7196765542030334
2,0.5091416835784912,0.0010000000474974513,0.7989111542701721,0.0034705756697803736,0.7816901206970215,0.4735487103462219,0.8437681198120117,0.0048775747418403625,0.6765498518943787
3,0.5161771178245544,0.0010000000474974513,0.7595610022544861,0.003337293630465865,0.7417840361595154,0.4618871808052063,0.9076753258705139,0.0047721355222165585,0.6765498518943787
4,0.5268124938011169,0.0010000000474974513,0.7335478663444519,0.002907400019466877,0.6326290965080261,0.4646461606025696,0.9312173128128052,0.00517491577193141,0.7304581999778748
5,0.5342916250228882,0.0010000000474974513,0.7202268838882446,0.002897580387070775,0.6197183132171631,0.4818153977394104,0.8849214911460876,0.005052897613495588,0.6900269389152527
6,0.5508520603179932,0.0005000000237487257,0.7079648375511169,0.0027671928983181715,0.5727699398994446,0.48734357953071594,0.8302124738693237,0.005166464019566774,0.698113203048706
7,0.5529666543006897,0.0005000000237487257,0.7030922174453735,0.0027451273053884506,0.5622065663337708,0.49770256876945496,0.8001998066902161,0.0052122571505606174,0.6900269389152527
8,0.5672500133514404,0.0005000000237487257,0.6956379413604736,0.0027432322967797518,0.5434272289276123,0.499179482460022,0.7825702428817749,0.005368990357965231,0.7088949084281921
9,0.5775895714759827,0.0005000000237487257,0.6900967955589294,0.002829100703820586,0.5528169274330139,0.48974359035491943,0.7666457295417786,0.005448390729725361,0.7331536412239075
10,0.5991812944412231,0.0005000000237487257,0.6811570525169373,0.0029022691305726767,0.5363849997520447,0.49346667528152466,0.7519550323486328,0.005368531681597233,0.7169811129570007
11,0.5990062952041626,0.0005000000237487257,0.6730203032493591,0.0029311312828212976,0.5328638553619385,0.49735385179519653,0.7404624223709106,0.005369673483073711,0.7115902900695801
12,0.6331875324249268,0.0005000000237487257,0.6627655029296875,0.00297158258035779,0.5023474097251892,0.49619486927986145,0.7272197008132935,0.0054978495463728905,0.7304581999778748
13,0.6453083753585815,0.0005000000237487257,0.6557623744010925,0.002943335333839059,0.48004695773124695,0.5186461806297302,0.7050003409385681,0.005312254186719656,0.6738544702529907
14,0.656333327293396,0.0005000000237487257,0.6434106230735779,0.0030837340746074915,0.47417840361595154,0.5428000092506409,0.6952356696128845,0.005481475032866001,0.6603773832321167
15,0.6849291920661926,0.0005000000237487257,0.633974015712738,0.0031410229858011007,0.4565727710723877,0.538851261138916,0.7020822167396545,0.0054566022008657455,0.6630727648735046
16,0.7086729407310486,0.0005000000237487257,0.6224592924118042,0.003168456256389618,0.4225352108478546,0.552543580532074,0.6932543516159058,0.005283864680677652,0.6226415038108826
17,0.7175020575523376,0.0005000000237487257,0.6056787371635437,0.0033807780127972364,0.44131454825401306,0.6009230613708496,0.6697636246681213,0.005263293161988258,0.5525606274604797
18,0.7398000359535217,0.0005000000237487257,0.5921636819839478,0.0034251008182764053,0.40375587344169617,0.6747897267341614,0.6382553577423096,0.005803501233458519,0.4959568679332733
19,0.7627249956130981,0.0005000000237487257,0.5803877711296082,0.003438797313719988,0.35680750012397766,0.7445641160011292,0.6028555631637573,0.007309824228286743,0.49056604504585266
20,0.7951562404632568,0.0005000000237487257,0.560409665107727,0.003956239204853773,0.34507042169570923,0.7961025834083557,0.5780494809150696,0.007522593252360821,0.40161725878715515
21,0.8189749717712402,0.0005000000237487257,0.5439141988754272,0.004195308778434992,0.34741783142089844,0.8443999886512756,0.5599813461303711,0.008501593954861164,0.34501346945762634
22,0.838927149772644,0.0005000000237487257,0.5272705554962158,0.004166468512266874,0.30868545174598694,0.8857846260070801,0.5445681810379028,0.009924428537487984,0.2938005328178406
23,0.8340250253677368,0.0005000000237487257,0.5115929245948792,0.004203248769044876,0.30399060249328613,0.9047384858131409,0.532297670841217,0.010431536473333836,0.25606468319892883
24,0.8732583522796631,0.0005000000237487257,0.49087589979171753,0.004583651665598154,0.26760563254356384,0.9230153560638428,0.5108534693717957,0.01123441569507122,0.2210242599248886
25,0.8748395442962646,0.0005000000237487257,0.4715869724750519,0.004581578075885773,0.2476525753736496,0.9480922818183899,0.4811529517173767,0.008797653950750828,0.11320754885673523
26,0.9033374786376953,0.0005000000237487257,0.44940677285194397,0.004722581245005131,0.2100939005613327,0.9690871834754944,0.455339252948761,0.007086907979100943,0.05121293663978577
27,0.9183291792869568,0.0005000000237487257,0.43018293380737305,0.0051029762253165245,0.19600938260555267,0.9828307628631592,0.4360523521900177,0.012715033255517483,0.04582210257649422
28,0.9175666570663452,0.0005000000237487257,0.4122045934200287,0.005201026331633329,0.17840375006198883,0.9914768934249878,0.41857221722602844,0.01882845163345337,0.02425876073539257
