epoch,custom_accuracy,custom_auc,custom_f1_score,custom_precision,custom_recall,loss,val_custom_accuracy,val_custom_auc,val_custom_f1_score,val_custom_precision,val_custom_recall,val_loss
0,0.5007566809654236,0.4804738163948059,0.0020788214169442654,0.0010417848825454712,0.45614033937454224,0.7905833125114441,0.5196200013160706,0.48198452591896057,0.002326063811779022,0.0011660188902169466,0.454054057598114,0.697395384311676
1,0.5007933378219604,0.49563831090927124,0.0021920031867921352,0.0010985048720613122,0.48099416494369507,0.7684910893440247,0.5186466574668884,0.4762166738510132,0.0021559165325015783,0.0010807216167449951,0.4216216206550598,0.7000200748443604
2,0.502133309841156,0.4912623167037964,0.002197889843955636,0.0011014617048203945,0.48099416494369507,0.7563697099685669,0.5048999786376953,0.483827143907547,0.002257063053548336,0.0011313436552882195,0.454054057598114,0.7033700346946716
3,0.5027933120727539,0.48086050152778625,0.002194126369431615,0.0010995789198204875,0.4795321524143219,0.7484257817268372,0.4903266727924347,0.4927257299423218,0.002557177096605301,0.001281682401895523,0.5297297239303589,0.7060563564300537
4,0.5037000179290771,0.49230054020881653,0.002224872587248683,0.0011149919591844082,0.4853801131248474,0.742508053779602,0.48903998732566833,0.49849021434783936,0.0026026747655123472,0.0013044782681390643,0.5405405163764954,0.7068758606910706
5,0.506268322467804,0.4744403660297394,0.0021826482843607664,0.0010938444174826145,0.4736842215061188,0.7375816106796265,0.5016199946403503,0.50173020362854,0.0026681958697736263,0.0013373990077525377,0.5405405163764954,0.7059397101402283
6,0.5074833035469055,0.5135548710823059,0.002369923749938607,0.001187704736366868,0.5131579041481018,0.7326669692993164,0.5052933096885681,0.5012120008468628,0.0026879548095166683,0.0013473276048898697,0.5405405163764954,0.7040769457817078
7,0.5098066926002502,0.5010263919830322,0.0022931417915970087,0.0011492377379909158,0.4941520392894745,0.7283461093902588,0.5129333138465881,0.503609836101532,0.0025666223373264074,0.0012865609023720026,0.5081080794334412,0.7020925283432007
8,0.5111183524131775,0.48530131578445435,0.0022585566621273756,0.0011319121113047004,0.4853801131248474,0.7241436839103699,0.5203400254249573,0.5129415392875671,0.0022188627626746893,0.0011122851865366101,0.4324324429035187,0.7007919549942017
9,0.5135250091552734,0.503065824508667,0.002296987920999527,0.001151185599155724,0.4912280738353729,0.7202479839324951,0.5172200202941895,0.5180279612541199,0.0023695046547800303,0.0011877797078341246,0.4648648500442505,0.7000741958618164
