epoch,custom_accuracy,custom_auc,custom_f1_score,custom_precision,custom_recall,loss,val_custom_accuracy,val_custom_auc,val_custom_f1_score,val_custom_precision,val_custom_recall,val_loss
0,0.5002316832542419,0.5092577934265137,0.00224266666918993,0.001123786554671824,0.5137194991111755,0.7910262942314148,0.5027133226394653,0.4916594624519348,0.0020869839936494827,0.0010459409095346928,0.4457142949104309,0.6960855722427368
1,0.5021299719810486,0.5305242538452148,0.0023311730474233627,0.0011681461473926902,0.5320122241973877,0.7657109498977661,0.501853346824646,0.5203723907470703,0.0023498618975281715,0.0011776828905567527,0.5028571486473083,0.6954686045646667
2,0.5036933422088623,0.5319094061851501,0.002358552999794483,0.0011818743078038096,0.5365853905677795,0.7531323432922363,0.5063733458518982,0.5168434381484985,0.0022906723897904158,0.001148043549619615,0.48571428656578064,0.6955313086509705
3,0.5056283473968506,0.5155609846115112,0.0022335313260555267,0.0011192356469109654,0.5060975551605225,0.7454441785812378,0.5060399770736694,0.5116335153579712,0.002369731431826949,0.001187664456665516,0.5028571486473083,0.6969805955886841
4,0.5067633390426636,0.5144847631454468,0.002285752212628722,0.0011454095365479589,0.5167682766914368,0.7381376028060913,0.5072866678237915,0.5088854432106018,0.0024026448372751474,0.0012041672598570585,0.508571445941925,0.6982091069221497
5,0.5080749988555908,0.525022566318512,0.0023525350261479616,0.0011788817355409265,0.5304877758026123,0.732441782951355,0.5119600296020508,0.5074478387832642,0.0023984077852219343,0.001202070852741599,0.5028571486473083,0.6982033848762512
6,0.5090183615684509,0.5190311074256897,0.002296226331964135,0.0011506698792800307,0.5167682766914368,0.7276082038879395,0.5162533521652222,0.5080615282058716,0.002529348013922572,0.00126772397197783,0.5257142782211304,0.6974701285362244
7,0.511900007724762,0.5064876675605774,0.0022621655371040106,0.0011336165480315685,0.5060975551605225,0.722847580909729,0.5197466611862183,0.5123225450515747,0.0025476994924247265,0.001276944181881845,0.5257142782211304,0.6967507600784302
8,0.5144683122634888,0.5117531418800354,0.0022672703489661217,0.0011361881624907255,0.5045731663703918,0.7186998128890991,0.5161200165748596,0.5153927206993103,0.002473818138241768,0.0012398913968354464,0.5142857432365417,0.6963379979133606
9,0.5177050232887268,0.5024040937423706,0.002275571459904313,0.001140365144237876,0.5030487775802612,0.715179979801178,0.520039975643158,0.5183275938034058,0.002411040710285306,0.0012084508780390024,0.49714285135269165,0.6954028606414795
